,bottleneck_unit_0,epoch
87,0.0,0
118,0.0,0
165,0.0,0
199,0.0,0
306,0.038542874,0
368,0.0,0
410,0.0,0
464,0.0,0
484,0.0,0
497,0.0,0
560,0.0,0
718,0.0,0
730,0.0,0
737,0.0,0
756,0.122713804,0
757,0.0,0
782,0.0,0
835,0.0,0
845,0.0,0
857,0.0,0
975,0.0,0
1016,0.0,0
1061,0.0,0
1073,0.0,0
1097,0.0,0
1205,0.0,0
1217,0.0,0
1267,0.0,0
1320,0.0,0
1340,0.0,0
1416,0.0,0
1493,0.0,0
1501,0.014589704,0
1551,0.0,0
1562,0.0,0
1620,0.0,0
1639,0.036050722,0
1681,0.0,0
1728,0.0,0
1747,0.0,0
1827,0.16659492,0
2059,0.0,0
2070,0.0,0
2152,0.0,0
2166,0.0,0
2220,0.0,0
2233,0.0,0
2249,0.0,0
2304,0.030515106,0
2305,0.0,0
2308,0.0,0
2345,0.0,0
2388,0.0,0
2423,0.0,0
2476,0.0,0
2480,0.0,0
2488,0.0,0
2532,0.0,0
2578,0.0,0
2621,0.0,0
2625,0.0,0
2657,0.0,0
2712,0.0,0
2739,0.0,0
2767,0.0,0
2787,0.0,0
2831,0.0,0
2836,0.0,0
2852,0.0,0
2871,0.0,0
2965,0.0,0
2967,0.12686649,0
3017,0.0,0
3024,0.0,0
3029,0.0,0
3064,0.0,0
3095,0.0,0
3099,0.0,0
3202,0.0,0
3215,0.0448876,0
3257,0.0,0
3259,0.0,0
3266,0.0,0
3270,0.0,0
3278,0.0,0
3288,0.0,0
3340,0.0,0
3351,0.0,0
3377,0.0,0
3442,0.0,0
3516,0.0,0
3529,0.0,0
3541,0.24094789,0
3559,0.0,0
3693,0.0,0
3697,0.086644225,0
3781,0.0,0
3783,0.06109394,0
3850,0.0,0
3856,0.0,0
3881,0.0,0
3911,0.081732765,0
3912,0.0,0
3926,0.17851302,0
3977,0.0,0
4045,0.0,0
4050,0.0,0
4102,0.0,0
4108,0.0,0
4206,0.0,0
4209,0.0,0
4250,0.0,0
4386,0.0,0
4431,0.0,0
4451,0.0,0
4464,0.0,0
4679,0.0,0
4788,0.015060826,0
4792,0.0,0
4827,0.0,0
4858,0.0,0
4879,0.0,0
4953,0.0,0
4996,0.0,0
5009,0.0,0
5016,0.0,0
5117,0.0,0
5175,0.0,0
5193,0.08391424,0
5199,0.0,0
5205,0.0,0
5214,0.0,0
5243,0.0,0
5261,0.0,0
5272,0.0,0
5279,0.0,0
5380,0.0,0
5428,0.0,0
5566,0.0,0
5578,0.0,0
5629,0.0,0
5775,0.0,0
5784,0.0,0
