features,importance_score,method
ALA,-0.00040132255399915375,Integrated Gradients
ARG,0.001191121690672238,Integrated Gradients
C02,0.0005342037136849925,Integrated Gradients
C03DC,-0.0014886319843309237,Integrated Gradients
C04,-0.009120619081424471,Integrated Gradients
C05,-0.004843450950395208,Integrated Gradients
C051,-0.003192262723324763,Integrated Gradients
C05DC,-0.005478315489522313,Integrated Gradients
C05OH,-0.0006517766228492469,Integrated Gradients
C06,0.0018953045514761304,Integrated Gradients
C08,0.00041551213396099723,Integrated Gradients
C081,-0.01331080601532687,Integrated Gradients
C10,0.0009472987696524428,Integrated Gradients
C101,0.00040818930545543313,Integrated Gradients
C12,-0.0054284317657390104,Integrated Gradients
C121,0.0003912711410868788,Integrated Gradients
C14,-0.00834689129869546,Integrated Gradients
C141,-0.0003502352350353533,Integrated Gradients
C14OH,-0.003872464704778589,Integrated Gradients
C16,-0.028933167816735054,Integrated Gradients
C16OH,0.0010967730984549498,Integrated Gradients
C18,0.004539046797094126,Integrated Gradients
C181,-0.0011846447506355642,Integrated Gradients
C181OH,-0.001278341554263354,Integrated Gradients
C182,-0.018957455132946215,Integrated Gradients
C18OH,-9.972596206147654e-05,Integrated Gradients
CIT,-0.003523093344423806,Integrated Gradients
FC,-0.00703054796628488,Integrated Gradients
GLY,-0.0028840834864571003,Integrated Gradients
MET,-0.005345286084257413,Integrated Gradients
ORN,-0.007433774259003123,Integrated Gradients
OXP,0.001955912175186235,Integrated Gradients
PHE,0.0005867281810149991,Integrated Gradients
PRO,-0.0020140901636143053,Integrated Gradients
R14_12,0.0007557631322983194,Integrated Gradients
R3_2,0.002188624137344271,Integrated Gradients
R8_10,-0.0028572240995647733,Integrated Gradients
RA_O,0.00020626336184455179,Integrated Gradients
RC_A,-0.0012007678365584863,Integrated Gradients
RF_C,0.0041620175381114856,Integrated Gradients
RF_Y,-0.005431171432674154,Integrated Gradients
RL_A,-0.003133211871544419,Integrated Gradients
RO_C,-0.011859521449440188,Integrated Gradients
TYR,-0.0025641607749328304,Integrated Gradients
VAL,0.0017244596459752922,Integrated Gradients
XLE,-0.0011813188287231955,Integrated Gradients
male_infant_sex,-0.01123373586516867,Integrated Gradients
ALA,-0.001124469912610948,Feature Permutation
ARG,0.0010714060626924038,Feature Permutation
C02,0.004489969462156296,Feature Permutation
C03DC,-0.0010552105959504843,Feature Permutation
C04,0.0046628802083432674,Feature Permutation
C05,0.0005571703659370542,Feature Permutation
C051,0.0018787026638165116,Feature Permutation
C05DC,-0.001342423027381301,Feature Permutation
C05OH,-0.0003612723376136273,Feature Permutation
C06,0.002594184363260865,Feature Permutation
C08,-0.00024256206233985722,Feature Permutation
C081,0.0030717309564352036,Feature Permutation
C10,0.0031078895553946495,Feature Permutation
C101,-0.0012085201451554894,Feature Permutation
C12,7.721925067016855e-05,Feature Permutation
C121,0.0011271829716861248,Feature Permutation
C14,0.0016049721743911505,Feature Permutation
C141,0.0014231636887416244,Feature Permutation
C14OH,0.0008499238756485283,Feature Permutation
C16,0.004373952746391296,Feature Permutation
C16OH,-0.0007422466296702623,Feature Permutation
C18,-0.0021133041009306908,Feature Permutation
C181,0.0005648580845445395,Feature Permutation
C181OH,0.0009118011221289635,Feature Permutation
C182,0.0007000937475822866,Feature Permutation
C18OH,0.002545468043535948,Feature Permutation
CIT,-0.0011652475222945213,Feature Permutation
FC,0.0005587359773926437,Feature Permutation
GLY,0.0016355370171368122,Feature Permutation
MET,-0.00015781581168994308,Feature Permutation
ORN,0.00015746497956570238,Feature Permutation
OXP,0.0022465779911726713,Feature Permutation
PHE,0.0022678000386804342,Feature Permutation
PRO,0.004118630196899176,Feature Permutation
R14_12,0.002649737522006035,Feature Permutation
R3_2,0.0020521068945527077,Feature Permutation
R8_10,0.00042226852383464575,Feature Permutation
RA_O,-0.003381342627108097,Feature Permutation
RC_A,-0.0006584278307855129,Feature Permutation
RF_C,0.0005835774936713278,Feature Permutation
RF_Y,0.0016614445485174656,Feature Permutation
RL_A,-0.00019662654085550457,Feature Permutation
RO_C,-0.0007767454371787608,Feature Permutation
TYR,0.0037127325776964426,Feature Permutation
VAL,0.0021180997136980295,Feature Permutation
XLE,0.0011620107106864452,Feature Permutation
male_infant_sex,0.0022679001558572054,Feature Permutation
ALA,0.0015076015843078494,DeepLiftSHAP
ARG,0.0021016011014580727,DeepLiftSHAP
C02,0.0039820498786866665,DeepLiftSHAP
C03DC,0.005889901425689459,DeepLiftSHAP
C04,0.021983468905091286,DeepLiftSHAP
C05,0.016818588599562645,DeepLiftSHAP
C051,0.00400655809789896,DeepLiftSHAP
C05DC,0.002658249344676733,DeepLiftSHAP
C05OH,0.0016122199594974518,DeepLiftSHAP
C06,0.0009890689980238676,DeepLiftSHAP
C08,0.0034569010604172945,DeepLiftSHAP
C081,0.004395888652652502,DeepLiftSHAP
C10,0.010504769161343575,DeepLiftSHAP
C101,0.0007902422803454101,DeepLiftSHAP
C12,0.010260597802698612,DeepLiftSHAP
C121,-0.0005348445265553892,DeepLiftSHAP
C14,0.01055779680609703,DeepLiftSHAP
C141,-0.0009582278435118496,DeepLiftSHAP
C14OH,0.004267331678420305,DeepLiftSHAP
C16,0.029672544449567795,DeepLiftSHAP
C16OH,0.00010224889410892501,DeepLiftSHAP
C18,-0.005063518416136503,DeepLiftSHAP
C181,-0.004122157581150532,DeepLiftSHAP
C181OH,0.003532088128849864,DeepLiftSHAP
C182,0.02733747288584709,DeepLiftSHAP
C18OH,0.005402298644185066,DeepLiftSHAP
CIT,0.0005575063405558467,DeepLiftSHAP
FC,0.00196400610730052,DeepLiftSHAP
GLY,0.0011284764623269439,DeepLiftSHAP
MET,0.0063225505873560905,DeepLiftSHAP
ORN,0.003235889133065939,DeepLiftSHAP
OXP,0.00406911363825202,DeepLiftSHAP
PHE,0.001236701151356101,DeepLiftSHAP
PRO,0.004127271473407745,DeepLiftSHAP
R14_12,0.001224422245286405,DeepLiftSHAP
R3_2,0.0002759129274636507,DeepLiftSHAP
R8_10,0.009024522267282009,DeepLiftSHAP
RA_O,-0.0007674410589970648,DeepLiftSHAP
RC_A,0.00030727245029993355,DeepLiftSHAP
RF_C,0.0023306484799832106,DeepLiftSHAP
RF_Y,0.0019837215077131987,DeepLiftSHAP
RL_A,0.003449337789788842,DeepLiftSHAP
RO_C,0.006653902120888233,DeepLiftSHAP
TYR,0.010063813999295235,DeepLiftSHAP
VAL,0.008974352851510048,DeepLiftSHAP
XLE,0.0035450132563710213,DeepLiftSHAP
male_infant_sex,-0.00027295519248582423,DeepLiftSHAP
