outcome,AUROC,AUPRC,quantile_split,quantile_assignment,metab
bpd_any,0.7279310551199953,0.7090421238651181,C10_quant_3,0.0,C10
bpd_any,0.7068113551029697,0.6963704278828813,C10_quant_3,1.0,C10
bpd_any,0.7143081210387433,0.7422609806937734,C10_quant_3,2.0,C10
ivh_any,0.7091327875871202,0.6615144806815096,C10_quant_3,0.0,C10
ivh_any,0.7049504730600097,0.675349928701592,C10_quant_3,1.0,C10
ivh_any,0.7211572247900684,0.742537056630806,C10_quant_3,2.0,C10
nec_any,0.6910377358490565,0.8623068832952171,C10_quant_3,0.0,C10
nec_any,0.6851101554247775,0.8680991296741918,C10_quant_3,1.0,C10
nec_any,0.7057040781934614,0.8738511605791468,C10_quant_3,2.0,C10
rop_any,0.6977022344843892,0.603167615492686,C10_quant_3,0.0,C10
rop_any,0.6749169261045602,0.5907883561061742,C10_quant_3,1.0,C10
rop_any,0.7007841069579135,0.6877081103108666,C10_quant_3,2.0,C10
bpd_any,0.7387932865944338,0.8018240075061848,C05_quant_3,0.0,C05
bpd_any,0.6942105449478972,0.6722950390330025,C05_quant_3,1.0,C05
bpd_any,0.6913172524400326,0.6092005044669487,C05_quant_3,2.0,C05
ivh_any,0.7246556366332385,0.77736597351054,C05_quant_3,0.0,C05
ivh_any,0.6835142542098896,0.6489460004815754,C05_quant_3,1.0,C05
ivh_any,0.7120973648309039,0.616192549069853,C05_quant_3,2.0,C05
nec_any,0.6843764800813936,0.9082559355506176,C05_quant_3,0.0,C05
nec_any,0.68321197702641,0.8526468088528015,C05_quant_3,1.0,C05
nec_any,0.6825965669605587,0.8018252238099843,C05_quant_3,2.0,C05
rop_any,0.7047211469140834,0.7317679903282107,C05_quant_3,0.0,C05
rop_any,0.6683411157158461,0.5759501083692239,C05_quant_3,1.0,C05
rop_any,0.6760697448081868,0.5246346491706905,C05_quant_3,2.0,C05
bpd_any,0.6993036704827098,0.7300404097935318,C05DC_quant_3,0.0,C05DC
bpd_any,0.7046533823285073,0.7275750262532298,C05DC_quant_3,1.0,C05DC
bpd_any,0.7289147320895945,0.6936978879220959,C05DC_quant_3,2.0,C05DC
ivh_any,0.6947088491103973,0.7231546351620715,C05DC_quant_3,0.0,C05DC
ivh_any,0.6953205688408677,0.7067203601792841,C05DC_quant_3,1.0,C05DC
ivh_any,0.7324835310020856,0.669913423875337,C05DC_quant_3,2.0,C05DC
nec_any,0.6776100033321057,0.8827080337535684,C05DC_quant_3,0.0,C05DC
nec_any,0.6720994965946107,0.8631781417373858,C05DC_quant_3,1.0,C05DC
nec_any,0.7241951504528192,0.8595026720034834,C05DC_quant_3,2.0,C05DC
rop_any,0.6833666042836349,0.6545619584503506,C05DC_quant_3,0.0,C05DC
rop_any,0.678482908382942,0.6395768950624408,C05DC_quant_3,1.0,C05DC
rop_any,0.7046054088093633,0.609257159521025,C05DC_quant_3,2.0,C05DC
bpd_any,0.7098415529611184,0.6974107084118988,C18_quant_3,0.0,C18
bpd_any,0.704744312782001,0.7169117015126047,C18_quant_3,1.0,C18
bpd_any,0.7201024141188768,0.734470509322035,C18_quant_3,2.0,C18
ivh_any,0.7119795630679223,0.6591616566140679,C18_quant_3,0.0,C18
ivh_any,0.6950693140966002,0.6937798315957375,C18_quant_3,1.0,C18
ivh_any,0.7075667814384733,0.7377421742410495,C18_quant_3,2.0,C18
nec_any,0.6907976168864389,0.8472926028643666,C18_quant_3,0.0,C18
nec_any,0.6776808839982222,0.8622049532481569,C18_quant_3,1.0,C18
nec_any,0.6909526408343944,0.8855442815933546,C18_quant_3,2.0,C18
rop_any,0.6884665357270796,0.6149486125514136,C18_quant_3,0.0,C18
rop_any,0.6814042223605494,0.6427249259296788,C18_quant_3,1.0,C18
rop_any,0.6934441740281653,0.6435303175275017,C18_quant_3,2.0,C18
bpd_any,0.674001723726277,0.6450435686265428,C181_quant_3,0.0,C181
bpd_any,0.7162304997916891,0.7227370429750726,C181_quant_3,1.0,C181
bpd_any,0.7250344053938406,0.7561207767095293,C181_quant_3,2.0,C181
ivh_any,0.6835672802519982,0.6108167021145136,C181_quant_3,0.0,C181
ivh_any,0.6986715642226181,0.699262818738742,C181_quant_3,1.0,C181
ivh_any,0.7162674804184237,0.7538614911925619,C181_quant_3,2.0,C181
nec_any,0.6684867805719856,0.8313816631821397,C181_quant_3,0.0,C181
nec_any,0.685788011115522,0.8679826702433349,C181_quant_3,1.0,C181
nec_any,0.6916096424293147,0.8864904422190216,C181_quant_3,2.0,C181
rop_any,0.6576118948428256,0.5606943480704508,C181_quant_3,0.0,C181
rop_any,0.6900317517780241,0.6452440323593431,C181_quant_3,1.0,C181
rop_any,0.7020106078929609,0.6710116043613317,C181_quant_3,2.0,C181
bpd_any,0.698479624104479,0.7319607918846813,CIT_quant_3,0.0,CIT
bpd_any,0.7153430640156304,0.7411519040513602,CIT_quant_3,1.0,CIT
bpd_any,0.720530218368947,0.6784556888599378,CIT_quant_3,2.0,CIT
ivh_any,0.688221335914113,0.7181908632092104,CIT_quant_3,0.0,CIT
