,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,0
0,rop_any,5.0399646265548955e-45,0.5595101191765981,0.4616662982566646,0.5643427405358215,0.4897264562483503,0
0,bpd_any,1.0336669059234375e-15,0.5155388234209254,0.3204811579605634,0.5165190474773549,0.35569619287077175,0
0,ivh_any,6.374370706509736e-46,0.5335125393792647,0.3393453470502591,0.5359805396361969,0.3971014273728725,0
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,1
0,rop_any,4.969387536617729e-47,0.5597528927410618,0.4622985250208038,0.5651277206316178,0.4908872496321538,1
0,bpd_any,1.0006211444840275e-09,0.5116867913613712,0.31718014135578865,0.5132449749749065,0.35277819623666234,1
0,ivh_any,3.561377539084514e-44,0.5339108735515489,0.33899046933454874,0.5375910219226203,0.39849130354273504,1
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,2
0,rop_any,7.953978760268621e-43,0.5575864788732394,0.46038000665794854,0.5615417127655609,0.48771902953755253,2
0,bpd_any,3.777375689856449e-15,0.5146752726774066,0.31996600143159065,0.5153663924665791,0.354842543205814,2
0,ivh_any,4.315029138960039e-45,0.5334049219657504,0.33906230159169615,0.5367856429964575,0.398211261899314,2
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,3
0,rop_any,1.1332738273891102e-44,0.558521343445287,0.46121814765747554,0.5637118112299296,0.48959960328642793,3
0,bpd_any,2.038868517056525e-21,0.5179484353930872,0.32311065802551,0.5189728114432532,0.3585393029702874,3
0,ivh_any,2.711788914776944e-41,0.5317329902816471,0.33731140726591397,0.5360809708818028,0.3978746979019554,3
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,4
0,rop_any,8.564574640667319e-47,0.5603933261105092,0.4624623340847194,0.5645911725359285,0.4900388247083285,4
0,bpd_any,1.3665872614983228e-16,0.5159540613661714,0.32090414653691235,0.5165897629338825,0.35574105562165886,4
0,ivh_any,1.1414735677973182e-41,0.5321336493998841,0.33757590830785855,0.5352837837783673,0.3962499208426177,4
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,5
0,rop_any,1.519092408584806e-44,0.5582328927410617,0.46107967337905753,0.5630094505521827,0.4891276926540015,5
0,bpd_any,4.781422009251775e-16,0.5150905106226525,0.320394748470108,0.5157482466909972,0.35525103197244484,5
0,ivh_any,8.057589032592849e-46,0.5336058327613572,0.33935170048744384,0.5368707928602178,0.39834668898442244,5
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,6
0,rop_any,8.174940323001266e-46,0.5596299024918743,0.46192480391322777,0.5636842714239132,0.48937691714583953,6
0,bpd_any,3.5847679949879874e-09,0.5110171345167344,0.31674520050543475,0.512141827714323,0.35188868224891756,6
0,ivh_any,2.0306232250023754e-38,0.5310358020397578,0.33620530579246705,0.5353301790557088,0.39646335331177823,6
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,7
0,rop_any,2.4483823982330795e-50,0.561994712892741,0.46399060279451837,0.5667047570233678,0.49206170689129164,7
0,bpd_any,3.572808460220697e-17,0.515475486067644,0.32087728015880346,0.5164553781541958,0.35615696762054233,7
0,ivh_any,9.102159429694034e-44,0.5327363817867043,0.3384191640435574,0.5363055821434898,0.3978378562206122,7
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,8
0,rop_any,1.757679884742166e-45,0.5595649837486457,0.46181102209689073,0.563600217640967,0.48923877766254165,8
0,bpd_any,8.613036271848136e-16,0.5151359043730342,0.32033953161426704,0.516115962444525,0.3555690940533383,8
0,ivh_any,7.972352158831948e-46,0.5342062402022245,0.33958406941224534,0.5383418137487144,0.39991304777259096,8
0,nec_any,,0.5,0.10455591348366314,0.5,0.1426777191660387,9
0,rop_any,1.0773087468592897e-46,0.5600431635969664,0.46231122231778576,0.5650240638617501,0.4905422605245555,9
0,bpd_any,9.578443419325285e-19,0.5167391435062814,0.3218463980433608,0.5176858178569442,0.35710963827531506,9
0,ivh_any,1.3709358333848064e-43,0.5329229685508895,0.3384395184383474,0.5367236907713681,0.3981906975942921,9
