metabolite,bpd_any,ivh_any,nec_any,rop_any
ALA,0.4426476686752336,0.4792731999581378,0.21758212153293438,0.5284609510390534
ARG,0.46541082109023774,0.48599797765149283,0.23459311722484594,0.5516407962877706
C02,0.4611202329996806,0.4422801365865319,0.2266779032151799,0.5441794485152598
C03DC,0.506675018610126,0.5026078302441664,0.26182781583435605,0.5848922047460798
C04,0.5648058440498931,0.5761304223414783,0.3070972357208542,0.635981893641887
C05,0.5529386064356724,0.5478671603068608,0.3071883075295357,0.6298932912241711
C051,0.5133805162318026,0.5089576058728433,0.25678542238681795,0.5878192634151901
C05DC,0.5272083941612155,0.5314199085838551,0.27590477947813136,0.598268387913329
C05OH,0.49448268546031793,0.49250602155751527,0.26599250165843663,0.584604914586425
C06,0.47962571257521297,0.4890070120032375,0.23815732800244735,0.5603550305429621
C08,0.5094186643162909,0.51189579534123,0.2700798634196829,0.5930642381739025
C081,0.468307172249021,0.4558284823207631,0.23569271277646522,0.5565485009649784
C10,0.4554361956678054,0.46720172638487667,0.23243358950644027,0.5376599594460706
C101,0.49072812889460155,0.491249854357114,0.2664940825979819,0.5800211921476707
C12,0.4427801806238481,0.4466797875675664,0.2214494462027976,0.520357641968978
C121,0.46418585833445497,0.47872457123544204,0.2372186433104226,0.5449869280088766
C14,0.4364824880708818,0.4328231613244634,0.20798743641147796,0.5127494550007048
C141,0.4926336223350338,0.49504764814856606,0.24548499946139227,0.5618749460015215
C14OH,0.4903899823220781,0.49703688075275454,0.2449297892041811,0.5592361629563047
C16,0.4020343548058117,0.397993230504998,0.1868052003899063,0.4846643211198368
C16OH,0.5026591376762555,0.509006667947623,0.26029855658862844,0.5779488011986702
C18,0.45612512197146504,0.43877439327926804,0.20895051231973186,0.5417090792560135
C181,0.43520293388264103,0.4301910260598226,0.2056957756492582,0.5233373769675244
C181OH,0.49202006956931427,0.4971393545954805,0.2438018347175168,0.5720916013730514
C182,0.43853481849031106,0.43100944183676654,0.21976772594386618,0.5319129422335922
C18OH,0.4808169067433899,0.4870069054951658,0.24959454150801905,0.5623960697834013
CIT,0.5268395775802629,0.537161968907601,0.26250190746855423,0.5996855621015925
FC,0.4824169974653504,0.4673439953735071,0.24078228032711668,0.558610519977567
GLY,0.4436484168672705,0.4547447422320521,0.2136411494046883,0.5322813657015679
MET,0.49248574234760656,0.5311542442398186,0.2608622698688143,0.5829652988931364
ORN,0.44843183843625334,0.4497605539264778,0.21834555985047874,0.5395893969698726
OXP,0.4609472537496951,0.47307108264434106,0.22289763561230422,0.5472399686985278
PHE,0.4715499465776542,0.4980396058585225,0.23700563239062497,0.5584370798878804
PRO,0.46936063942870626,0.5089663558155553,0.2382787802679961,0.558163079255087
R14_12,0.4930435595406232,0.4879026790471632,0.23741938794786205,0.5633774560655574
R3_2,0.49290790771161924,0.5100571892208453,0.2496690041678823,0.5790531556813194
R8_10,0.5200200944171074,0.5151906732205148,0.2632298426080937,0.5995669885608891
RA_O,0.48797805033667474,0.5190986103614192,0.2554870756062934,0.5659161736296675
RC_A,0.5016671485692517,0.4969623039706114,0.24049513893604887,0.5734262156175638
RF_C,0.5323207365332473,0.5286729186653599,0.2780060104518951,0.601344093472992
RF_Y,0.4623320679652214,0.4550755734557121,0.2224669422718015,0.5392545167804185
RL_A,0.5347269610103424,0.5028489198940981,0.2712163394621575,0.5998295124949498
RO_C,0.42541220842443284,0.4264519915566575,0.21246032278871213,0.5192390680824353
TYR,0.5314395472181466,0.5515867313447947,0.2844256557072507,0.6061541693377153
VAL,0.4922847517867722,0.506424770666706,0.2494766558174241,0.5735823618045416
XLE,0.4821267249767504,0.4955273330007733,0.24432720671923377,0.5675981042010655
