metabolite,bpd_any,ivh_any,nec_any,rop_any
ALA,0.08450798095494569,0.1972426810740093,0.03115578267133621,0.18459681558588428
ARG,0.09407048486554383,0.17754205642542023,0.03830714728098508,0.19902999442951938
C02,0.10022811805176356,0.14356900492602961,0.03676967146454842,0.20779576607331632
C03DC,0.09911826353448505,0.16683104026871037,0.03563009515653988,0.2104480183013884
C04,0.09718610477264156,0.2073565384524972,0.038254841003053104,0.2135679781612161
C05,0.09973368982807294,0.18009137182114487,0.042753637381479796,0.221768922200067
C051,0.09499574210691886,0.1746007143417382,0.03652101021279967,0.21004609114958364
C05DC,0.10181603588648994,0.1859310716995953,0.03453161189738203,0.2032129410955354
C05OH,0.08902487239037903,0.16283404392849704,0.042216813788877004,0.21583312469041188
C06,0.08707002432393883,0.1748670749472008,0.03338062841679038,0.1917122240218722
C08,0.0939554616613417,0.16995923032023413,0.04095787653409805,0.21352114425756974
C081,0.09400609998770937,0.14551796116659554,0.04103669687416139,0.21690571343613974
C10,0.08555910222365799,0.1656869512592936,0.03974568530286936,0.18913667207556423
C101,0.09188401529130596,0.16182441922188523,0.04041620765206613,0.21890728277820007
C12,0.08434868905424765,0.15939246257499426,0.03913629896841594,0.17636531024991073
C121,0.0864139929375361,0.17280961483528307,0.03532975736086815,0.18913216982633
C14,0.08992068672743278,0.15071266698393204,0.03396954592215177,0.18184688374746572
C141,0.09121127601999039,0.1780222528726159,0.03526861148383125,0.18743384893029874
C14OH,0.09016988477257384,0.18096294545961916,0.038880932263195764,0.18329937294293364
C16,0.08967156804581902,0.1352162927439903,0.029891303942912135,0.18668414594318072
C16OH,0.08790792437504132,0.17954608900625818,0.03873417134076407,0.19823644550254416
C18,0.09853618777535858,0.14075853777328096,0.03199084898955355,0.21430145451253124
C181,0.09188632920884769,0.14193803979055616,0.033245950167302855,0.2064026938122714
C181OH,0.09041329721764091,0.17453812870243782,0.03698114880295422,0.20086975964368267
C182,0.09385197151599345,0.14065384095201805,0.03875168958495264,0.21847637212018045
C18OH,0.08620535430954172,0.16972645090615396,0.0381539396286018,0.19924527715891285
CIT,0.09468137416802362,0.19302432213921028,0.03530674370523848,0.19850460950987794
FC,0.1026178263485734,0.15195882600364521,0.04221219689081838,0.20050537585346317
GLY,0.08630541062702948,0.1614860754186272,0.03349302805663766,0.19316283979290205
MET,0.09138219667082335,0.19696682782138383,0.036720627772420064,0.1998547477233715
ORN,0.0966206920357645,0.15094451092181588,0.03360125066757166,0.20855520331456834
OXP,0.0858101925723026,0.16826727290931304,0.03158086146313628,0.19329358517467268
PHE,0.0944666468229409,0.18154076263069266,0.03463807868139148,0.19827649322180887
PRO,0.08685149495527307,0.19989724146098434,0.031469944152795463,0.19207641456146016
R14_12,0.093396029635126665,0.1702327046373364,0.03451269530624061,0.19356381246029808
R3_2,0.08794487438985814,0.1781765899388871,0.0375812186212696,0.21045791384673443
R8_10,0.0994287711759373,0.16719016922238752,0.038689764383911494,0.21626968012727574
RA_O,0.09052339802260824,0.2026603858054644,0.04144634184618619,0.1894290789325726
RC_A,0.08730848470884282,0.17360040401148566,0.03075715324877561,0.19423195130866902
RF_C,0.09696666345391654,0.18597090619856552,0.04478845890894932,0.19809017030986287
RF_Y,0.10351589255674093,0.15657451412414575,0.038525205933752284,0.2004513569331859
RL_A,0.1140256830244978,0.15479681724180944,0.04064419756149134,0.21505286382629613
RO_C,0.09290981198314514,0.14477757480914896,0.03769459020891946,0.2060584387563856
TYR,0.09793773291151334,0.2030301549690394,0.03544498269011756,0.2001840875999593
VAL,0.09885946641336282,0.17622661907559636,0.0350664132317794,0.20083157028870832
XLE,0.09890014583518375,0.17070838412959571,0.0351013389730756,0.20683494198804717
