metabolite,bpd_any,ivh_any,nec_any,rop_any
ALA,0.4402019622911559,0.48222273658617093,0.45440344092239854,0.45864350945857796
ARG,0.4872750338501324,0.5085942299099505,0.5033079119528681,0.49655091027693765
C02,0.4708652622419563,0.437988318123815,0.4720072047324731,0.47620426377275693
C03DC,0.5256480318130253,0.5233308643863795,0.5315014276936423,0.5243509162070806
C04,0.6057342734114834,0.6063535397856041,0.5938838086288117,0.6016854059182827
C05,0.5874568283747463,0.5792763435969068,0.6001725280418309,0.5898408646148372
C051,0.5388244143825451,0.5302360527978939,0.5313893808508331,0.5356349700527783
C05DC,0.5549765183766574,0.5596216875520793,0.5507409549282538,0.5460523335112376
C05OH,0.5190874085639818,0.510577934860055,0.5402489126637029,0.5341030362331732
C06,0.49763809430870504,0.5028204766946167,0.49939313984168865,0.5030942003202277
C08,0.5216460719615186,0.5214752897322669,0.5375358128215323,0.5301957540176718
C081,0.45726962596112014,0.4414229587913968,0.47599040975409934,0.47188599300243134
C10,0.4717825296722331,0.4818415660637874,0.49266081131552636,0.47638133784024195
C101,0.4878103335407035,0.48821434753380377,0.5235169455789689,0.5052064282749215
C12,0.45469599938195554,0.4568031028222479,0.4615320297345815,0.45412995908201387
C121,0.48756230254089467,0.49684669852144964,0.503753087312201,0.49126229022119433
C14,0.44970228147859004,0.4340061347964528,0.4452196961482392,0.44604142204827135
C141,0.5052353244936711,0.5041696488593868,0.5004218021469621,0.4989241831228133
C14OH,0.5026658859789296,0.5097653963666225,0.5017132323706943,0.4982726976220127
C16,0.39675555121840145,0.38069145274717314,0.3948041589860363,0.4072483840360553
C16OH,0.524119428959449,0.5202905574855385,0.5222528644233202,0.5154069857083556
C18,0.46538719265502954,0.43446503689331334,0.44657245093432607,0.4755138765344245
C181,0.4357797728686615,0.41822690695961257,0.4388808568571463,0.44957768487220545
C181OH,0.512787868437852,0.5113350025561652,0.5048909049288562,0.5124408171736938
C182,0.4443383874732147,0.43018694222261583,0.4695307285454392,0.4654995848899958
C18OH,0.4989171210513261,0.4995657336999183,0.5139279044830786,0.501974025974026
CIT,0.5435170795772901,0.5514745248954388,0.5218833508030024,0.5393163731245924
FC,0.5027090677693881,0.4773386496201981,0.5033985132709244,0.5027648105319338
GLY,0.44565266714646434,0.46407046159915305,0.45487933880314696,0.4653260392575461
MET,0.4706358945583625,0.5122557453334889,0.49632257442681416,0.49232844096542727
ORN,0.45468103620032774,0.4561622098148692,0.46846158480018313,0.4738213247939275
OXP,0.4816569690611823,0.4948901654060277,0.47949000614450427,0.4937202455079167
PHE,0.48290806182071017,0.5087779517669744,0.4967832917675691,0.4982643657712151
PRO,0.4724588410853186,0.5147075304223911,0.49073565378730377,0.48975378046610923
R14_12,0.5203473247213717,0.5100387651508137,0.504956566788352,0.512010081242958
R3_2,0.5199949580583645,0.5404238001119077,0.5265348610257707,0.5296915139654865
R8_10,0.5470799025766762,0.5392639049348077,0.5472254551149986,0.5503505603985056
RA_O,0.5174801270244006,0.5441211018480873,0.5254672835267045,0.5151120500504062
RC_A,0.5385711381370025,0.5186112978475882,0.5113452849965663,0.5262706813734211
RF_C,0.5767917800087015,0.5681668471413217,0.5754028264719702,0.5671905947933346
RF_Y,0.46455002703944503,0.4540372918335554,0.4658106528837002,0.46955784854414995
RL_A,0.5514252023892298,0.5190802635869237,0.5503577065336562,0.5448443633991579
RO_C,0.4157583446167108,0.4086576308575431,0.4463399236153781,0.4362721935598648
TYR,0.5229115179903796,0.5454767952531812,0.5287589306152938,0.5254728992468719
VAL,0.5064716980364891,0.5201235412750232,0.5114402236117637,0.5129229377928008
XLE,0.49217608574553645,0.5051475933805385,0.5078305080661679,0.5056851094111368
